
351—400,Iowa State UniversityUnited States,"32,951",18.7,12%,46 : 54
351—400,University of KaiserslauternGermany,"14,226",53.7,15%,37 : 63
351—400,University of KansasUnited States,"24,345",7.6,9%,51 : 49
351—400,University of KentuckyUnited States,"31,225",19.0,6%,53 : 47
351—400,Kyung Hee UniversitySouth KoreaExplore,"23,692",17.3,16%,47 : 53
351—400,Kyushu UniversityJapan,"18,650",6.6,11%,29 : 71
351—400,La Trobe UniversityAustraliaExplore,"22,422",29.6,25%,63 : 37
351—400,Leibniz University of HanoverGermany,"23,126",61.9,12%,41 : 59
351—400,University of MacauMacaoExplore,"8,981",14.6,33%,58 : 42
351—400,Autonomous University of MadridSpainExplore,"26,969",12.4,16%,60 : 40
351—400,University of Milan-BicoccaItaly,"32,892",65.8,6%,62 : 38
351—400,University of MissouriUnited States,"30,535",11.3,6%,53 : 47
351—400,Montpellier UniversityFrance,"39,313",19.7,14%,54 : 46
351—400,Maynooth UniversityIrelandExplore,"7,850",28.8,12%,55 : 45
351—400,Norwegian University of Life SciencesNorway,"5,655",7.3,21%,53 : 47
351—400,University of OklahomaUnited States,"27,054",10.3,6%,52 : 48
