rank,name,fte_students,students_per_staff,international_students,ratio,overall,teaching,research,citations,industry_income,international_outlook
178,University of LuxembourgLuxembourg,5219,17.2,55%,51 : 49,52.2,29.7,30,85.8,40.6,99.9
179,Paris-Sud UniversityFrance,26642,14.1,17%,55 : 45,52.1,40.6,31.1,83.2,32.5,64
180,University of DundeeUnited KingdomExplore,11266,14.7,24%,61 : 39,52,26.7,31,92.3,43.8,79.1
180,University of HamburgGermanyExplore,37501,46.7,11%,57 : 43,52,42,41.6,70.5,60.6,56.7
182,Cardiff UniversityUnited Kingdom,23549,14.3,25%,56 : 44,51.7,31.8,36.9,80.9,37,78.9
182,University of MiamiUnited States,16054,6,15%,51 : 49,51.7,43.1,17.1,92.5,38.1,65.8
182,Northeastern UniversityUnited States,18368,14.5,28%,50 : 50,51.7,38.2,25.7,89.8,35.5,63
182,University of the WitwatersrandSouth AfricaExplore,24565,24.5,8%,56 : 44,51.7,26.4,37.3,82.9,100,69.4
186,Hebrew University of JerusalemIsrael,17709,10.8,5%,57 : 43,51.6,44.3,39.6,71.1,35.4,56.1
186,University of WürzburgGermany,22297,33.5,8%,57 : 43,51.6,34.8,37,83.4,48.1,51.2
188,University of AberdeenUnited Kingdom,11554,13.6,32%,55 : 45,51.5,31,31.2,82.6,44.5,92
188,Lomonosov Moscow State UniversityRussian Federation,29563,7.4,21%,45 : 55,51.5,75.2,61.6,12.5,89.1,59.9
190,Newcastle UniversityUnited KingdomExplore,20307,15.6,28%,49 : 51,51.3,33.6,32.1,81,38.7,84.9
190,Scuola Superiore Sant’AnnaItaly,679,13.1,13%,38 : 62,51.3,44.7,33.9,74.1,86.6,44.9
192,Hong Kong Polytechnic UniversityHong KongExplore,21907,25.6,25%,54 : 46,51.2,35,41.8,69.9,47.9,79.7
192,University of ReadingUnited Kingdom,12086,13.9,29%,56 : 44,51.2,36.8,37.5,71.6,36.6,86.6
194,University of KonstanzGermany,11335,50.4,12%,54 : 46,51.1,39.8,44.5,64.4,73.1,62.6
195,University of CalgaryCanada,28047,16,18%,53 : 47,51,34.8,35.2,77.9,48.8,71.5
195,National Taiwan UniversityTaiwan,31581,11.6,8%,40 : 60,51,51.4,52.5,54.5,47.8,29.9
197,University of Duisburg-EssenGermanyExplore,41002,53,12%,49 : 51,50.9,34.1,28.7,87.5,77.8,50.6
198,Brandeis UniversityUnited States,5532,13.1,23%,55 : 45,50.8,29.8,24.6,99.7,33.8,49.2
198,Tilburg UniversityNetherlands,7454,22.4,13%,49 : 51,50.8,38.8,50.2,57,58,74.3
200,University of Illinois at ChicagoUnited States,24459,11.6,18%,53 : 47,50.6,46,35.3,69.6,41.6,57.1
201—250,Aalborg UniversityDenmarkExplore,19286,17.4,15%,48 : 52,46.3—50.4,24.2,35.2,80.1,44.8,71.7
201—250,Aalto UniversityFinland,12653,20.1,20%,34 : 66,46.3—50.4,34.4,29,75,52.5,69.6
201—250,University of AntwerpBelgium,16445,35.8,15%,54 : 46,46.3—50.4,34.5,39.8,73,54.6,64.9
201—250,University of BarcelonaSpainExplore,47569,12.5,10%,61 : 39,46.3—50.4,33.7,33,81.3,35.3,49.3
201—250,University of BergenNorway,11949,11.5,13%,59 : 41,46.3—50.4,29.8,29.3,86.2,36.6,74
201—250,"Birkbeck, University of LondonUnited Kingdom",9690,19.5,38%,54 : 46,46.3—50.4,27.4,35.1,67,32.6,88.4
201—250,University of BolognaItaly,84486,22.3,7%,56 : 44,46.3—50.4,35.6,27.5,81.7,37.4,42.8
201—250,Boston CollegeUnited States,12932,16.5,19%,55 : 45,46.3—50.4,47.3,19.3,79.9,43.8,60.2
201—250,CentraleSupélecFrance,4130,11.4,32%,22 : 78,46.3—50.4,35.8,14.7,78.1,56.4,84
201—250,University of CincinnatiUnited States,27712,21.9,8%,52 : 48,46.3—50.4,37.8,29.6,75.4,41.9,31.8
201—250,University College DublinIrelandExplore,21438,22.7,25%,n/a,46.3—50.4,31.5,37.8,72.5,37.4,88.1
201—250,University of DelawareUnited States,19426,16.2,10%,56 : 44,46.3—50.4,26.9,36.8,78.1,92.5,44
201—250,ESPCI ParisTechFrance,481,6.3,14%,38 : 62,46.3—50.4,45.3,22.3,76.2,77.1,49.7
201—250,Florida State UniversityUnited States,41737,30.2,7%,55 : 45,46.3—50.4,40.8,39.5,67.1,34.2,45.7
201—250,George Washington UniversityUnited States,21409,12.4,15%,57 : 43,46.3—50.4,47.1,27.7,70.7,32.9,48
201—250,Goethe University FrankfurtGermany,45453,13.1,15%,58 : 42,46.3—50.4,32.4,27.5,79.7,38.2,59.4
201—250,University of Hawai’i at MānoaUnited States,16580,10.9,13%,56 : 44,46.3—50.4,34.2,38.7,73.2,53.2,63.5
201—250,University of IcelandIceland,13373,24,8%,66 : 34,46.3—50.4,16.9,27.6,92,52.7,60.3
201—250,Indian Institute of ScienceIndia,3398,8.3,1%,20 : 80,46.3—50.4,50.1,49.2,47.3,48,18.1
201—250,University of IowaUnited States,27807,11.6,12%,52 : 48,46.3—50.4,40.9,27.1,74.9,53.8,34.6
201—250,University of KielGermany,24701,23.3,8%,54 : 46,46.3—50.4,31.6,27.2,90.8,33.5,51.2
201—250,King Abdulaziz UniversitySaudi ArabiaExplore,37178,8.3,21%,55 : 45,46.3—50.4,26.4,12.4,93.3,66,92.1
201—250,Korea UniversitySouth KoreaExplore,22739,15.5,16%,42 : 58,46.3—50.4,40.9,45.4,49.2,98.6,44
201—250,Université Libre de BruxellesBelgium,23712,35,32%,54 : 46,46.3—50.4,26.3,42.8,74.4,44.5,83.3
201—250,Nanjing UniversityChina,34784,15.7,9%,42 : 58,46.3—50.4,41.7,36.9,61.5,73.9,51.4
201—250,"National University of Ireland, GalwayIreland",13911,26.1,16%,56 : 44,46.3—50.4,27.7,27.8,76.7,41.4,78.1
201—250,University of NewcastleAustraliaExplore,23838,22.7,18%,56 : 44,46.3—50.4,29.3,28.5,73.5,63.7,79.8
201—250,North Carolina State UniversityUnited States,30187,13.1,12%,45 : 55,46.3—50.4,37.5,32.7,68.4,42,50.2
201—250,University of OtagoNew ZealandExplore,18567,20.2,20%,57 : 43,46.3—50.4,30.5,30.7,80.1,35.6,88.6
201—250,University of OuluFinland,10089,23.5,7%,50 : 50,46.3—50.4,30.3,32.6,75.1,39.9,54.2
201—250,Paris Descartes UniversityFrance,32978,24.4,15%,63 : 37,46.3—50.4,24.6,32.5,84.6,38.6,51.7
201—250,Paris Diderot University – Paris 7France,27836,14.8,17%,63 : 37,46.3—50.4,28.9,24,91.8,32.9,65.7
201—250,Polytechnic University of MilanItaly,33486,25.3,13%,35 : 65,46.3—50.4,32.6,30.3,76.4,59.3,52.6
201—250,Queensland University of TechnologyAustraliaExplore,34398,36.3,17%,54 : 46,46.3—50.4,28.4,37.9,67.4,58.9,77.9
201—250,Queen’s UniversityCanadaExplore,21015,22.6,11%,58 : 42,46.3—50.4,38.9,34.8,60.9,41.7,64.7
201—250,Queen’s University BelfastUnited KingdomExplore,17348,16.1,32%,55 : 45,46.3—50.4,31.2,31.9,78.3,37.1,94.3
201—250,Royal College of Surgeons in IrelandIrelandExplore,2184,18.2,62%,n/a,46.3—50.4,35.5,18.6,81.7,37.1,89.5
201—250,Shanghai Jiao Tong UniversityChina,36535,12.3,6%,41 : 59,46.3—50.4,51.9,56.5,41.5,90.5,29.3
201—250,Simon Fraser UniversityCanada,26607,28.3,29%,55 : 45,46.3—50.4,23.8,31.9,77,47.5,89.3
201—250,University of South FloridaUnited States,32016,19,11%,n/a,46.3—50.4,27.8,34.9,75.2,95.8,44.4
201—250,"St George’s, University of LondonUnited Kingdom",3077,14.5,16%,62 : 38,46.3—50.4,21.3,20.7,100,35.5,67.7
