rank,name,fte_students,students_per_staff,international_students,ratio,overall,teaching,research,citations,industry_income,international_outlook
401-500,Université du Québec à MontréalCanada,27046,24.7,9%,61 : 39,-,26.8,24.5,41.6,29.2,42.9
401-500,Universiti Teknologi MalaysiaMalaysia,16270,9,13%,43 : 57,-,26.3,14.6,44.7,31.1,51.7
401-500,University of Urbino Carlo BoItaly,13435,37.4,7%,61 : 39,-,17.2,8.7,66.8,31.2,35
401-500,University of ValenciaSpain,58413,15.4,9%,60 : 40,-,22.7,16.9,49.6,31.3,40.5
401-500,University of WaikatoNew Zealand,10159,17,25%,57 : 43,-,19.3,18.2,53.7,30.7,87
401-500,Western Sydney UniversityAustralia,30704,32.2,9%,56 : 44,-,20.1,24.6,52.3,30.7,54
401-500,Wuhan UniversityChinaExplore,46227,14.4,7%,n/a,-,38.2,26.8,18,97.8,36.7
401-500,Xiamen UniversityChina,32921,12.3,5%,52 : 48,-,26.7,15.6,47,-,25
501-600,American University of BeirutLebanon,7695,8.9,25%,51 : 49,-,27.7,11.2,31.9,-,93
501-600,Amirkabir University of TechnologyIran,14080,25.6,1%,34 : 66,-,24.5,25.7,34.8,55.7,7.7
501-600,"University of the Andes, ColombiaColombia",15773,16.9,2%,44 : 56,-,21.2,13.8,31.2,28,51.7
501-600,University of ArkansasUnited States,22819,21.2,5%,50 : 50,-,25.5,17.4,30.3,36.9,25.9
501-600,Auburn UniversityUnited States,22386,17.6,4%,51 : 49,-,30.2,19.4,21,37.2,27.9
501-600,Babeş-Bolyai UniversityRomania,37915,23.5,2%,67 : 33,-,27.9,12.5,32.1,28.6,35.4
501-600,Bauman Moscow State Technical UniversityRussian Federation,18808,4,4%,23 : 77,-,44,23.7,3.1,68.1,15.6
501-600,Blaise Pascal UniversityFrance,15619,7.1,17%,55 : 45,-,20.2,2.9,46.9,-,66.6
501-600,University of BurgundyFrance,26612,20.8,11%,54 : 46,-,21.4,8.8,46.3,-,50.9
501-600,University of CanberraAustralia,11221,28.6,24%,54 : 46,-,18.4,19.3,29.8,36.2,54.6
501-600,Ben-Gurion University of the NegevIsrael,16695,12.6,2%,49 : 51,-,25.8,23.1,30.1,37,52.9
501-600,Carleton UniversityCanada,25036,29.8,18%,47 : 53,-,19.9,24,32,30.4,61.3
501-600,University of CataniaItaly,55859,49.7,1%,61 : 39,-,19.2,15.9,52.9,29.5,25.3
501-600,Central Queensland UniversityAustraliaExplore,11452,29.6,27%,59 : 41,-,20.9,11.4,43.7,32.5,50.8
501-600,University of ChileChile,29207,14.2,3%,47 : 53,-,28.3,19.6,30.5,-,44.1
501-600,China Agricultural UniversityChina,19342,12,1%,57 : 43,-,35.8,24.9,22.6,52.3,17.6
501-600,Chung-Ang UniversitySouth Korea,13015,17.4,17%,45 : 55,-,29.9,27.6,17.4,61.3,43.7
501-600,Czech Technical University in PragueCzech Republic,22751,12,n/a,0 : 100,-,20.6,9.3,46.5,28.2,25
501-600,De Montfort UniversityUnited Kingdom,16812,19.1,21%,57 : 43,-,16.8,10.1,40.1,28.5,58.4
501-600,East China Normal UniversityChinaExplore,29623,14,11%,63 : 37,-,24.6,14.7,43.3,42,30.6
501-600,Edith Cowan UniversityAustraliaExplore,16671,34.2,18%,61 : 39,-,18.9,16.1,35,34.5,68.7
501-600,Federal University of Rio de JaneiroBrazil,52878,12.8,2%,54 : 46,-,32.4,19.7,18.3,42.9,25.1
501-600,University of GranadaSpain,53476,16,6%,56 : 44,-,24.3,14.7,45.8,29.4,36.4
501-600,University of HaifaIsrael,17758,30.8,1%,65 : 35,-,25.5,29.5,26.2,30.3,34.7
501-600,Harbin Institute of TechnologyChina,31658,10.8,7%,29 : 71,-,29.4,27.3,15.7,99.8,25.6
501-600,University of HertfordshireUnited Kingdom,19665,19.4,27%,54 : 46,-,15.5,9.5,50.5,29.3,78.9
501-600,Hiroshima UniversityJapan,14686,8.2,5%,36 : 64,-,27.8,18.9,41.7,42.2,22.2
501-600,Huazhong University of Science and TechnologyChina,57242,17.7,3%,34 : 66,-,29.3,22.7,31.6,71.8,17.3
501-600,Indian Institute of Technology GuwahatiIndia,4710,14.2,1%,14 : 86,-,24.3,20.7,42.6,32.3,12.9
501-600,Indian Institute of Technology KanpurIndia,6167,12.2,n/a,13 : 87,-,33.1,15,31.5,28,16.4
501-600,Indian Institute of Technology RoorkeeIndia,8061,18.7,1%,17 : 83,-,29.7,17.5,37.2,81.4,13.9
501-600,Isfahan University of TechnologyIran,10964,26.5,1%,39 : 61,-,18.1,23,39.5,99.5,17.2
501-600,Istanbul Technical UniversityTurkey,34550,16,5%,34 : 66,-,19.2,25.8,26.5,72.1,22.9
501-600,Jadavpur UniversityIndia,10697,16.1,n/a,30 : 70,-,32.8,22.2,31.8,33.8,7.7
501-600,Kanazawa UniversityJapan,10546,10.4,5%,36 : 64,-,24.7,14.8,35.5,30.4,18.4
501-600,Kansas State UniversityUnited States,21379,15.1,10%,50 : 50,-,22.9,17.5,39.3,43.1,41.7
501-600,Keio UniversityJapan,33751,11.9,5%,32 : 68,-,25,17.5,28.5,41.4,22.7
501-600,Kent State UniversityUnited States,23122,19,7%,58 : 42,-,18.4,14.2,53.8,28.5,32.4
501-600,King Fahd University of Petroleum and MineralsSaudi Arabia,6898,7.1,19%,0 : 100,-,25.4,16.1,24.4,81.2,84.5
501-600,King Saud UniversitySaudi Arabia,40666,13.4,6%,n/a,-,20,17.5,22.3,57.4,75.5
501-600,University of La LagunaSpain,22422,14.9,5%,58 : 42,-,16.9,10,44.8,28.5,44.7
501-600,Lappeenranta University of TechnologyFinlandExplore,3486,23.9,19%,31 : 69,-,27.1,27.5,20.8,80.3,53
501-600,University of LimerickIreland,12212,19.8,13%,46 : 54,-,19.8,16.3,36.6,34,76.5
501-600,University of LisbonPortugal,47849,17.5,9%,51 : 49,-,25.9,18.3,32.4,35.4,46.6
501-600,Liverpool John Moores UniversityUnited Kingdom,18513,19.8,13%,52 : 48,-,16.4,11.6,45.9,28.8,62.1
501-600,Mahidol UniversityThailand,27402,7.5,3%,63 : 37,-,26.8,15.1,28.3,71.6,44.1
501-600,Manchester Metropolitan UniversityUnited Kingdom,28037,18.2,14%,57 : 43,-,22.7,10.6,30.8,28.3,57.8
501-600,University of MariborSlovenia,14531,17.3,4%,n/a,-,17.1,11.5,42.1,38.7,33.6
501-600,Masaryk UniversityCzech Republic,40898,26.6,17%,62 : 38,-,21.2,22.9,27.8,28.5,48.9
501-600,University of the Basque CountrySpain,46373,15.3,5%,53 : 47,-,18.2,19.6,43.1,30.3,34.9
501-600,Massey UniversityNew Zealand,19101,16.8,15%,62 : 38,-,23.1,17.1,31.9,35.8,80.5
501-600,Memorial University of NewfoundlandCanada,15464,14.6,10%,59 : 41,-,18.1,15.8,35.6,48.3,53.3
501-600,Middle East Technical UniversityTurkey,25779,22.2,7%,44 : 56,-,29.9,17.3,28.8,60,26.7
501-600,University of MinhoPortugalExplore,19090,18.8,9%,52 : 48,-,23.9,20.1,35.3,51.6,43.6
501-600,Missouri University of Science and TechnologyUnited States,7647,15.5,12%,23 : 77,-,23.5,18.4,28.7,52.8,40.6
501-600,Montana State UniversityUnited States,12331,17.8,4%,46 : 54,-,17.7,21.8,48,43,23.5
501-600,Monterrey Institute of Technology and Higher EducationMexicoExplore,14353,20.5,12%,40 : 60,-,23.9,12.7,23.4,75.8,59.6
501-600,National Central UniversityTaiwan,10915,9.8,6%,31 : 69,-,26.3,23.2,17.5,75.3,27.1
501-600,National Sun Yat-Sen UniversityTaiwan,9336,19.6,4%,37 : 63,-,26.1,33,25.8,44.3,19.7
501-600,National Taiwan Normal UniversityTaiwan,11072,13,19%,57 : 43,-,26.2,31.3,16.2,81.9,38.1
501-600,National Technical University of AthensGreece,14780,26.9,7%,36 : 64,-,20.2,15,36.2,40.3,31.3
501-600,Moscow Institute of Physics and TechnologyRussian Federation,5395,7,12%,n/a,-,35.4,18.4,15.5,62.8,44.4
501-600,New Jersey Institute of TechnologyUnited States,10646,26.2,17%,25 : 75,-,18.9,16.6,32.2,32.2,48.5
501-600,New Mexico State UniversityUnited States,15035,18.8,7%,54 : 46,-,19.5,19.2,47.2,34.6,30.5
501-600,University of North Carolina at GreensboroUnited States,16446,19.2,2%,66 : 34,-,18.2,15.3,43.1,28.9,17.4
501-600,Oklahoma State UniversityUnited States,21270,21.4,7%,49 : 51,-,27.5,22.7,33.1,33.7,25.6
501-600,Osaka City UniversityJapan,8604,10.1,4%,36 : 64,-,26.3,13.4,34.4,40.7,21.3
501-600,Otto von Guericke University of MagdeburgGermany,14104,13.1,13%,42 : 58,-,22.9,14.4,39.7,37.7,43.9
501-600,University of OviedoSpain,24210,13.7,5%,54 : 46,-,19.5,10.8,41.9,34.1,36.2
501-600,Palacký University OlomoucCzech RepublicExplore,18540,11.4,9%,70 : 30,-,19.2,11.8,42.9,28.7,48.8
501-600,Panjab UniversityIndia,16691,23.9,1%,46 : 54,-,24.6,8.8,41,28.1,14.1
501-600,Paris Dauphine UniversityFrance,9565,15.4,28%,53 : 47,-,21.9,11.1,27.6,30.6,69.3
501-600,Pontifical Catholic University of Rio de Janeiro (PUC-Rio)Brazil,14300,21.2,3%,49 : 51,-,24.5,24.1,23.1,100,31.3
501-600,Portland State UniversityUnited States,20398,22.2,8%,54 : 46,-,16.8,14.4,43.3,44.6,31.6
501-600,University of PretoriaSouth Africa,37314,20,8%,57 : 43,-,25.6,21.2,17.5,52.4,46
501-600,Pusan National UniversitySouth Korea,24929,19.7,12%,51 : 49,-,27.5,24.7,20.4,66.8,32.9
501-600,Quaid-i-azam UniversityPakistan,12688,25.7,n/a,53 : 47,-,17.9,9.9,45.6,-,35.4
501-600,University of ReginaCanadaExplore,11550,22.8,12%,61 : 39,-,15.6,15.8,34.2,34.4,47.7
501-600,Renmin University of ChinaChina,24954,12.7,6%,n/a,-,34.7,13.7,30.7,42.5,40.1
501-600,University of Rennes 1France,22186,13.9,12%,50 : 50,-,17.8,10.3,44.7,31.7,53
501-600,University of SalamancaSpain,31035,17.9,12%,58 : 42,-,26.1,16.9,25.9,31.6,40.8
501-600,University of Santiago de CompostelaSpain,29085,15.3,6%,63 : 37,-,22.9,14.1,46.9,32.3,37.1
501-600,Semmelweis UniversityHungary,12920,10.9,25%,64 : 36,-,19.6,10.6,41.5,30.7,81.7
501-600,University of SevilleSpain,64931,17.5,7%,55 : 45,-,21.5,14.9,32.6,36.7,32
501-600,Université de SherbrookeCanada,13438,5.4,5%,54 : 46,-,25.6,9.5,41.3,29.6,39.8
501-600,Soochow UniversityChina,36465,12.9,2%,78 : 22,-,19.2,13.7,45.8,75.3,16
501-600,South China University of TechnologyChina,41438,17.7,3%,33 : 67,-,19.5,22.1,28.1,86.8,17.5
501-600,Tallinn University of TechnologyEstonia,14061,28.6,5%,44 : 56,-,16.3,15,38.7,44.8,37.9
501-600,Tehran University of Medical SciencesIran,13912,9,1%,62 : 38,-,51.8,20,9.3,30,14.1
501-600,University of Texas at ArlingtonUnited States,29396,10.5,10%,60 : 40,-,20.1,10.1,50.9,33.4,50.3
501-600,Tianjin UniversityChina,29693,12.2,1%,n/a,-,36.5,34.4,12.2,100,14.7
501-600,Tokyo University of Agriculture and TechnologyJapan,5865,14.4,5%,27 : 73,-,34.9,24.1,16.9,39.9,19.4
501-600,University of ToledoUnited States,19465,17.5,9%,50 : 50,-,31.6,13.4,29.9,32.9,37.7
501-600,Tongji UniversityChina,37394,13.5,10%,38 : 62,-,28.9,29.2,13.1,63.5,37.2
501-600,University of TulsaUnited States,4597,12.5,25%,43 : 57,-,29.7,12.9,24.6,71.7,43.8
501-600,United Arab Emirates UniversityUnited Arab EmiratesExplore,9221,12.5,26%,76 : 24,-,18.8,14.8,21.7,30.1,95
501-600,University of WarsawPoland,49292,14.1,7%,67 : 33,-,26.1,15.8,42.2,28.5,41.6
501-600,University of Wisconsin-MilwaukeeUnited States,22542,18.4,5%,52 : 48,-,17.3,13.8,45.5,29,26
501-600,Xi’an Jiaotong UniversityChina,29863,12.3,4%,34 : 66,-,28.7,22.5,25.5,70.4,25.8
501-600,University of ZaragozaSpain,31046,11.8,5%,55 : 45,-,20.1,12.7,49.5,36.7,33.5
601-800,University of A CoruñaSpain,17062,13,2%,52 : 48,-,18.3,10,16.6,38.2,23.4
601-800,Adam Mickiewicz UniversityPoland,40633,15.6,1%,71 : 29,-,20,11,15.3,28.7,25.7
601-800,AGH University of Science and TechnologyPoland,35569,17,n/a,0 : 100,-,14.2,3.7,35.7,-,17.9
601-800,Ajou UniversitySouth Korea,12706,11.3,2%,33 : 67,-,19.5,11.9,23.9,45.7,20
601-800,University of AlcaláSpain,30812,25.1,18%,53 : 47,-,17.6,11.2,28.3,43.3,50
601-800,Alexandria UniversityEgypt,127431,23.3,1%,46 : 54,-,20.3,8.2,14.1,29.7,33.7
601-800,Alexandru Ioan Cuza UniversityRomania,25724,33,5%,63 : 37,-,24.9,13.6,7,28.2,46.9
601-800,Aligarh Muslim UniversityIndia,11197,10.5,2%,17 : 83,-,28.3,10,20.9,29.6,18.7
601-800,American University of SharjahUnited Arab Emirates,5226,14.1,82%,48 : 52,-,12.4,10.6,13.3,33.3,95.6
601-800,Amrita Vishwa VidyapeethamIndia,17273,6.6,8%,n/a,-,20.4,5.8,20.7,28,29.6
601-800,Anadolu UniversityTurkey,379231,162.6,1%,78 : 22,-,12.2,22.6,10.9,100,14.3
601-800,Andhra UniversityIndia,10407,20.2,3%,36 : 64,-,34.8,6.9,1.2,31.3,7.2
601-800,University of AntioquiaColombia,38872,23,1%,50 : 50,-,18.1,21.1,14.8,43.6,42
601-800,Aristotle University of ThessalonikiGreece,46288,22.2,9%,52 : 48,-,22.6,15,29.5,33.6,36.6
601-800,"Asia University, TaiwanTaiwan",12119,26.3,3%,53 : 47,-,14.4,15.9,30.5,38.4,18.3
601-800,Athens University of Economics and BusinessGreece,13167,57.5,6%,47 : 53,-,13.4,18.8,31.2,66.5,39.2
601-800,Auckland University of TechnologyNew Zealand,18981,18.1,38%,58 : 42,-,17.3,9.8,21.7,28.5,95.6
601-800,Austral University of ChileChile,13794,17.8,1%,47 : 53,-,16.7,9.7,14.2,41.1,45.2
601-800,Beijing Institute of TechnologyChina,25983,12.6,3%,35 : 65,-,25.9,21.7,9.1,87.6,16.9
601-800,Belarusian State UniversityBelarus,29303,10.6,6%,69 : 31,-,20.2,8.7,6,28,48.2
601-800,University of BelgradeSerbia,96968,28.3,4%,60 : 40,-,20.4,13.2,14,45.6,30.5
601-800,"Birla Institute of Technology and Science, PilaniIndia",11837,19.5,n/a,22 : 78,-,18.3,8.3,17.4,29.6,13.7
601-800,University of BradfordUnited Kingdom,11065,20.5,32%,53 : 47,-,18.7,15.9,22.7,32.7,79.1
601-800,University of BrasíliaBrazil,45880,14.5,2%,52 : 48,-,21.9,7.4,10.4,-,24.1
601-800,University of BrightonUnited Kingdom,16924,19.5,19%,58 : 42,-,16.7,10.7,20.1,29.4,62.8
601-800,University of BucharestRomania,31806,24.9,2%,70 : 30,-,34.3,11.5,9.9,29.5,21.3
601-800,Budapest University of Technology and EconomicsHungary,22447,22.1,4%,32 : 68,-,17.1,13.7,21.6,39.7,30.4
601-800,Cairo UniversityEgypt,231941,39.1,2%,47 : 53,-,18.9,11.1,11.9,30.3,31
601-800,University of CalcuttaIndia,18511,32.5,n/a,n/a,-,34.7,8.7,19.8,29.2,13.1
601-800,"California State University, Long BeachUnited States",29594,32.3,5%,58 : 42,-,11.6,10.4,23.3,-,18.9
601-800,Capital Medical UniversityChina,11506,7.1,3%,70 : 30,-,26.3,14.9,16.3,28.8,18.8
601-800,University of Castilla-La ManchaSpainExplore,26381,14.3,3%,56 : 44,-,18.4,10.3,30.5,29.7,28.6
601-800,University of Central LancashireUnited Kingdom,18542,17.5,17%,57 : 43,-,15.7,9.4,28.2,28.9,54.1
601-800,University of Cergy-PontoiseFrance,17000,9.2,11%,53 : 47,-,18.7,6.3,13.2,28.6,49.1
601-800,Chang Gung UniversityTaiwan,7506,12.6,n/a,42 : 58,-,19.3,24.7,27.6,31.9,15.7
601-800,Carlos III University of MadridSpainExplore,15730,11.4,9%,43 : 57,-,23.2,17.4,24.8,34.8,44.7
601-800,"University of Chemistry and Technology, PragueCzech Republic",4699,11,18%,n/a,-,21.6,12,17.4,38.9,46.3
601-800,Chiang Mai UniversityThailand,35617,16.5,1%,19 : 81,-,17.8,9.4,30,32.3,34.9
601-800,Chiba UniversityJapan,14554,12.3,5%,37 : 63,-,26.9,16.8,24.8,55.3,21
601-800,"China University of Geosciences, WuhanChina",29483,20.7,2%,n/a,-,21.1,21.4,21.5,64.5,16.1
601-800,"China University of Petroleum, BeijingChina",14579,19.4,6%,n/a,-,23.6,26.6,4,100,15.9
601-800,Chonbuk National UniversitySouth KoreaExplore,23270,15,3%,45 : 55,-,19.7,14.7,24.5,33.3,27.2
601-800,Chongqing UniversityChina,43955,16,3%,n/a,-,19.5,15.5,8.7,73.8,15.5
601-800,Chonnam National UniversitySouth Korea,35779,18.5,3%,41 : 59,-,17.5,11.7,29.1,31.4,20.4
601-800,Chulalongkorn UniversityThailand,38719,14.5,2%,59 : 41,-,23.8,14.1,16.7,37.8,32.8
601-800,Chung Yuan Christian UniversityTaiwan,15020,30.2,3%,41 : 59,-,15.9,22.1,17.4,41.9,18.7
601-800,Chungnam National UniversitySouth Korea,18361,17.2,3%,n/a,-,23.2,17.7,13.2,39.9,19.8
601-800,Clemson UniversityUnited States,19198,17.1,8%,46 : 54,-,21.4,19.7,27,35.8,34.6
601-800,Comenius University in BratislavaSlovakia,20879,9.7,10%,54 : 46,-,23,10.3,19.6,28,46.9
601-800,Coventry UniversityUnited Kingdom,21934,14.8,35%,47 : 53,-,17.1,7.7,18.4,29.1,69.6
601-800,Dalian University of TechnologyChina,34326,15.2,2%,33 : 67,-,22.6,19,23.5,93.3,20.7
601-800,University of DebrecenHungary,29714,20.3,13%,57 : 43,-,17.3,11.4,20.9,-,49
601-800,University of DelhiIndia,32567,22.9,1%,50 : 50,-,29.8,10.8,19.1,28.2,15.4
601-800,University of DhakaBangladesh,62716,6.9,5%,34 : 66,-,21.7,7.2,9.6,-,37.2
601-800,Dublin Institute of TechnologyIreland,13839,18.9,25%,41 : 59,-,16.1,8.8,20.7,28.1,70.5
601-800,Ehime UniversityJapan,8394,9.9,1%,39 : 61,-,19.2,11.3,17.5,37.8,20.9
601-800,University of Electronic Science and Technology of ChinaChina,21689,9.8,n/a,21 : 79,-,20.5,12.9,8.8,28,13.4
601-800,Eötvös Loránd UniversityHungary,28698,22.4,4%,n/a,-,21.3,12.1,30.6,29.3,43
601-800,Erciyes UniversityTurkey,28079,28,2%,46 : 54,-,15.5,10.9,18,30.3,17.2
601-800,Federal University of BahiaBrazil,39861,17.9,1%,47 : 53,-,18.2,8.1,14.3,-,19.7
601-800,Federal University of Minas GeraisBrazil,42612,13.5,1%,55 : 45,-,27.9,15.4,23.1,30.7,21.6
601-800,Federal University of Paraná (UFPR)Brazil,21850,11.2,1%,n/a,-,24.6,9.6,7,-,15.5
601-800,Federal University of Rio Grande do SulBrazil,38743,14.8,1%,50 : 50,-,32.6,13.7,16.8,-,18.9
601-800,Federal University of Santa CatarinaBrazil,26078,12.6,1%,48 : 52,-,26,12.2,14.2,42.9,21
601-800,Federal University of São CarlosBrazil,18587,16.9,n/a,n/a,-,29,10.8,11.5,-,16.8
601-800,Federal University of ViçosaBrazil,13163,11.4,3%,70 : 30,-,39.7,14.5,3.9,59,15
601-800,Federal University of LavrasBrazil,10350,20.9,1%,53 : 47,-,25.8,16.4,3,-,14.5
601-800,Feng Chia UniversityTaiwan,20213,23.9,7%,36 : 64,-,14.6,13.7,34.4,33.9,21.1
601-800,Florida Institute of TechnologyUnited StatesExplore,4408,13.7,26%,34 : 66,-,20.4,13.5,24.6,33.4,62.4
601-800,Fu Jen Catholic UniversityTaiwan,25951,22.8,4%,59 : 41,-,14.4,9.8,18.2,47,19.1
601-800,Gdańsk University of TechnologyPoland,25217,23.3,1%,39 : 61,-,15.5,9.5,15.2,36.8,16.1
601-800,University of GhanaGhana,37274,37.5,2%,41 : 59,-,15.6,15.6,19.5,-,48.4
601-800,Gifu UniversityJapan,7318,12.4,4%,35 : 65,-,25.4,16.9,14.7,32.8,18.5
601-800,Glasgow Caledonian UniversityUnited Kingdom,13527,21.6,16%,60 : 40,-,17.1,10.4,24.2,29.9,55
601-800,University of GreenwichUnited Kingdom,18096,24.6,32%,53 : 47,-,15.7,9.5,17.7,30,81.8
601-800,Hacettepe UniversityTurkey,39606,20.4,4%,56 : 44,-,21,11.8,19.7,28.2,19.6
601-800,University of HuddersfieldUnited Kingdom,15436,18.1,25%,54 : 46,-,17.4,5.4,16.5,28,55.2
601-800,University of TehranIran,53802,27,1%,45 : 55,-,27.3,17.7,15.8,-,16.5
601-800,Hunan UniversityChina,42756,24.7,2%,43 : 57,-,18.3,15,21.2,46.7,14.8
601-800,University of IbadanNigeria,26247,17.1,1%,45 : 55,-,22.7,11.1,4.6,29.2,26.1
601-800,University of IndonesiaIndonesia,43565,15.8,n/a,51 : 49,-,18.1,8,13.9,40,37.2
601-800,Inha UniversitySouth Korea,20353,24.1,3%,36 : 64,-,20.7,20,22.5,64.7,23.5
601-800,I-Shou UniversityTaiwan,16263,29.9,10%,45 : 55,-,12.8,11.5,13.3,41,24.8
601-800,Istanbul UniversityTurkey,82096,41.1,6%,44 : 56,-,26,23.3,10,100,20
601-800,Jagiellonian UniversityPoland,42835,11.5,5%,67 : 33,-,24,14.4,30.7,28,33.5
601-800,Jilin UniversityChina,65605,13.6,3%,46 : 54,-,28.2,14.4,14.6,42.1,20.3
601-800,University of JordanJordan,35577,13.6,13%,67 : 33,-,19,7.7,7.8,28.8,53.7
601-800,Jordan University of Science and TechnologyJordanExplore,24686,16.4,23%,55 : 45,-,16.4,6.2,16.4,31.4,62.2
601-800,Juntendo UniversityJapan,3955,3.7,1%,52 : 48,-,32.3,10.5,24,51.1,16.7
601-800,K.N. Toosi University of TechnologyIran,7146,24.6,n/a,32 : 68,-,20.9,18.1,22.5,45.5,7.1
601-800,Kaohsiung Medical UniversityTaiwan,7009,12.6,5%,56 : 44,-,20.6,22.2,20.5,33.2,19.9
601-800,Khon Kaen UniversityThailand,39669,16.9,1%,62 : 38,-,18.2,7.4,19.9,35.7,31.5
601-800,King Mongkut’s University of Technology ThonburiThailand,17791,23.7,1%,42 : 58,-,18.2,11.4,36.2,70.3,28.5
601-800,Kingston UniversityUnited Kingdom,20778,20.9,34%,53 : 47,-,16.9,12.1,26.7,28.5,76.8
601-800,Kindai UniversityJapan,31216,11.6,2%,n/a,-,18.5,7.9,30,33.2,17
601-800,Kobe UniversityJapan,15885,8.4,6%,33 : 67,-,27.8,15.4,24.3,45.1,21.1
601-800,Konkuk UniversitySouth Korea,26483,23.5,6%,47 : 53,-,20,19.6,17,36,22.6
601-800,Kumamoto UniversityJapan,10226,7.6,5%,37 : 63,-,23.4,11.6,28.1,43.1,22.2
601-800,Kyungpook National UniversitySouth Korea,27152,14.4,3%,42 : 58,-,21.1,16,18.1,34.9,21.7
601-800,Kyushu Institute of Technology (Kyutech)Japan,5890,12.1,4%,11 : 89,-,19.4,12.5,14.2,44.1,20.7
601-800,University of LatviaLatvia,15100,26.5,3%,68 : 32,-,22.6,10.2,20.9,28.3,31.5
601-800,Lille 1 University – Science and TechnologyFrance,19599,14.5,18%,41 : 59,-,20,8.6,32.4,31.8,60.3
601-800,University of LincolnUnited Kingdom,10665,18.9,11%,54 : 46,-,17.9,11.9,26.4,29.3,60.5
601-800,University of LjubljanaSlovenia,48821,17.6,4%,60 : 40,-,24.9,13.6,24,32.3,34.5
601-800,University of Marrakech Cadi AyyadMorocco,56060,38.7,1%,46 : 54,-,17.4,6.3,12.1,29.2,42.7
601-800,Miami UniversityUnited States,16370,20.5,7%,53 : 47,-,19.2,15.7,36.1,30.2,24.8
601-800,Middlesex UniversityUnited Kingdom,17753,24.7,44%,59 : 41,-,18.5,10.6,25.7,-,81
601-800,University of MurciaSpainExplore,31460,15.8,6%,62 : 38,-,19.3,11.7,28,29.5,28.3
601-800,Nagasaki UniversityJapan,9137,7.2,4%,36 : 64,-,22.8,10.8,14.3,-,21.9
601-800,University of NairobiKenya,72676,47,1%,40 : 60,-,13.7,9,19.5,28,45.5
601-800,National Chengchi UniversityTaiwan,16867,18.4,10%,57 : 43,-,18.4,12.5,14,31.3,33.1
601-800,National Chung Cheng UniversityTaiwan,11989,22.9,1%,n/a,-,21.3,20.3,15.7,40.8,14.2
601-800,National Chung Hsing UniversityTaiwan,15632,20.3,4%,39 : 61,-,20.2,16.8,24.5,42.5,16.9
601-800,National Taipei University of TechnologyTaiwan,10227,16.5,3%,25 : 75,-,17.8,14.6,16.4,81.3,16
601-800,National Taiwan Ocean UniversityTaiwan,8240,20.9,5%,30 : 70,-,18.1,21,18.2,49.3,20.3
601-800,National University of CórdobaArgentina,108373,38.1,2%,62 : 38,-,16,9,12.5,28.6,28.1
601-800,National University of Science and Technology (MISiS)Russian Federation,4441,6.7,13%,43 : 57,-,24.8,17.5,10.8,67.2,33.7
601-800,National University of Sciences and TechnologyPakistan,9808,7.8,3%,27 : 73,-,21.4,7,35,31.3,31.3
601-800,Niigata UniversityJapan,12460,8.5,3%,37 : 63,-,21.9,10.1,17.5,33,19.3
601-800,Northumbria UniversityUnited Kingdom,22750,19.3,16%,55 : 45,-,17.7,10.9,29.2,29.1,55.1
601-800,Northwestern Polytechnical UniversityChina,23056,14.1,3%,25 : 75,-,23.4,15.4,3.5,28,15.2
601-800,Nottingham Trent UniversityUnited Kingdom,21852,17.4,17%,55 : 45,-,16.5,8.9,27.3,28.4,52.7
601-800,Oakland UniversityUnited States,14584,19.8,2%,60 : 40,-,18.1,11.9,21.9,30.3,23.3
601-800,Ocean University of ChinaChina,36205,20.6,1%,40 : 60,-,18.9,10.7,12.9,50.1,15.6
601-800,Ohio UniversityUnited States,22224,20,9%,50 : 50,-,25,14.9,24.6,30.1,33.6
601-800,Okayama UniversityJapan,13035,8.6,3%,38 : 62,-,24.3,14.9,25.3,48,20.6
601-800,Osaka Prefecture UniversityJapan,8051,7.5,3%,36 : 64,-,21.6,10.2,17.5,41.5,17.6
601-800,University of PardubiceCzech Republic,10671,19.8,4%,55 : 45,-,15.9,11.9,11.1,28.3,23.4
601-800,University of Paris North – Paris 13France,23026,23.4,22%,60 : 40,-,17.5,11.6,36.2,28,46.4
601-800,University of PatrasGreece,29251,40.9,4%,46 : 54,-,18.5,12.1,28.8,48.3,30.6
601-800,University of PécsHungary,21819,15.4,10%,n/a,-,19.7,9,23.4,28.4,50.8
601-800,Polytechnic University of ValenciaSpain,33172,13.6,7%,36 : 64,-,20.3,12.7,34.3,43.8,32.9
601-800,Pontifical Catholic University of ParanáBrazil,7741,10.9,2%,1 : 99,-,18.4,6.5,32.2,28,18.6
601-800,Pontifical Catholic University of Rio Grande do Sul (PUCRS)Brazil,14797,10.1,n/a,50 : 50,-,21.1,10.9,27.6,52.3,18.7
601-800,Pontifical Catholic University of ValparaísoChile,13493,10.4,n/a,45 : 55,-,18.4,8,10.4,44.3,35.7
601-800,Prince of Songkla UniversityThailand,38274,16.1,1%,69 : 31,-,15.3,7,22.2,31.6,31
601-800,Qatar UniversityQatarExplore,9583,19,42%,74 : 26,-,9.9,10.3,22.3,55.2,99.9
601-800,Rio de Janeiro State University (UERJ)Brazil,28757,10.1,n/a,46 : 54,-,21.7,9.1,12.3,30.8,16.8
601-800,Rochester Institute of TechnologyUnited States,12965,13.5,13%,34 : 66,-,17.4,13.4,25.1,30.4,29.8
