
201-250,University of StuttgartGermany,-,40,44.5,55.7,99.8,52.7
201-250,Swedish University of Agricultural SciencesSweden,-,31.5,32.8,68.1,99.9,40.1
201-250,Technical University of DarmstadtGermany,-,37.1,43.2,51.1,99.1,54.4
201-250,Tel Aviv UniversityIsrael,-,41,50.5,49.2,42.9,47.5
201-250,University of Texas at DallasUnited States,-,24.3,26.7,86.8,41.8,52.3
201-250,Tilburg UniversityNetherlands,-,34.1,47.1,51.5,57.4,71.6
201-250,Tohoku UniversityJapan,-,45.3,42.7,49.4,74.7,29.3
201-250,Tokyo Institute of TechnologyJapan,-,45.6,47.6,42.2,70.9,31.9
201-250,University of VictoriaCanada,-,20.6,30,79,36.6,70.2
201-250,Wake Forest UniversityUnited States,-,34.6,19.5,94.8,42.5,24.2
201-250,Western UniversityCanada,-,38.6,32.4,59,59.7,73.6
201-250,William & MaryUnited States,-,38.5,17.5,85,29.1,26.6
201-250,University of the WitwatersrandSouth Africa,-,26.2,31.5,76,99.7,68.4
251-300,Aalto UniversityFinland,-,31.1,32.8,62.1,61.6,65.4
251-300,Aix-Marseille UniversityFrance,-,36.7,22.1,64.9,33.1,63
251-300,University of BathUnited Kingdom,-,28.9,27.9,56.7,36.3,84.8
251-300,University of BayreuthGermany,-,32.2,31.2,60.1,56.4,52.6
251-300,Bielefeld UniversityGermany,-,35.2,46.2,49.9,60.9,45.4
251-300,University of BordeauxFrance,-,25.3,22,71.7,30.6,54.6
251-300,Charles Darwin UniversityAustralia,-,17.8,22.6,85.9,43.2,63.7
251-300,Colorado School of MinesUnited States,-,28.5,30.3,71.8,83.7,35.5
251-300,Colorado State UniversityUnited States,-,31.6,33,59.3,41,34.5
251-300,University of DelawareUnited States,-,23.7,34,70,98.7,41.6
251-300,Flinders UniversityAustralia,-,21.4,25.7,69.5,41.7,64.7
251-300,University of GeorgiaUnited States,-,41.1,30.5,52.2,30.9,39.2
251-300,Griffith UniversityAustralia,-,22.5,25.2,66.3,34.6,81.7
251-300,Indian Institute of ScienceIndia,-,42.7,47.2,42.4,52.4,16.4
251-300,Iowa State UniversityUnited States,-,31.2,29.4,61.5,54,35.4
251-300,James Cook UniversityAustralia,-,19,22.8,81.4,40.7,70.4
251-300,Justus Liebig University GiessenGermany,-,32.9,33.9,52.9,46.4,46.8
