rank,name,fte_students,students_per_staff,international_students,ratio,overall,teaching,research,citations,industry_income,international_outlook,size,country,continent,english_spoken,country_int,continent_int
109,Aarhus University,25167,14.3,0.12,54,59.4,37.3,53.6,82.7,67.6,75.3,large,Denmark,Europe,0.0,113.0,2.0
109,University of Copenhagen,30395,4.1,0.14,58,59.4,44.0,39.7,90.6,44.6,79.3,large,Denmark,Europe,0.0,113.0,2.0
111,Sungkyunkwan University (SKKU),24055,19.6,0.12,42,59.3,54.1,55.1,69.5,93.7,44.7,large,South Korea,Asia,0.0,73.0,1.0
111,University of Western Australia,18787,21.8,0.25,49,59.3,33.5,46.1,90.6,54.5,91.9,large,Australia,Oceania,1.0,173.0,4.0
113,University of Göttingen,28554,27.9,0.12,50,59.2,47.1,50.3,82.4,33.7,58.6,large,Germany,Europe,0.0,118.0,2.0
113,University of Virginia,24055,9.7,0.12,52,59.2,52.4,40.7,89.3,40.6,46.5,large,United States,North America,1.0,172.0,3.0
115,École Polytechnique,2799,5.1,0.36,21,59.1,54.4,38.2,75.1,70.8,93.4,small,France,Europe,0.0,116.0,2.0
116,Fudan University,32859,12.1,0.1,51,58.9,59.5,57.5,65.1,53.0,38.7,large,China,Asia,0.0,61.0,1.0
117,Indiana University,66835,14.1,0.15,52,58.7,50.5,46.5,81.9,51.5,50.5,large,United States,North America,1.0,172.0,3.0
117,Trinity College Dublin,16157,22.8,0.27,58,58.7,45.3,44.8,79.0,41.2,92.1,large,Ireland,Europe,1.0,122.0,2.0
119,University of Alberta,32435,21.6,0.26,55,58.6,47.2,51.2,70.5,63.4,84.8,large,Canada,North America,1.0,154.0,3.0
119,City University of Hong Kong,9240,11.2,0.35,54,58.6,40.8,48.6,79.4,65.9,84.4,medium,Hong Kong,Asia,0.0,63.0,1.0
121,Queen Mary University of London,15405,13.3,0.45,54,58.5,32.8,38.2,96.7,39.1,95.5,large,United Kingdom,Europe,1.0,148.0,2.0
122,Radboud University Nijmegen,19358,19.1,0.12,56,58.4,33.9,50.4,89.4,44.8,68.8,large,Netherlands,Europe,0.0,133.0,2.0
123,Georgetown University,15956,8.6,0.17,54,58.3,51.8,37.2,87.5,66.3,49.6,large,United States,North America,1.0,172.0,3.0
123,Pierre and Marie Curie University,25117,12.3,0.2,49,58.3,49.5,39.8,85.7,31.8,66.6,large,France,Europe,0.0,116.0,2.0
125,University of Mannheim,10995,74.5,0.16,54,58.2,41.8,53.0,80.5,57.8,55.9,medium,Germany,Europe,0.0,118.0,2.0
126,Arizona State University,44475,20.1,0.19,43,58.1,41.5,48.3,87.1,35.7,55.2,large,United States,North America,1.0,172.0,3.0
126,Charité - Universitätsmedizin Berlin,6792,16.2,0.18,63,58.1,43.3,39.2,88.6,87.5,60.7,medium,Germany,Europe,0.0,118.0,2.0
126,University of Southampton,21670,12.5,0.33,53,58.1,37.9,43.7,86.0,38.5,92.0,large,United Kingdom,Europe,1.0,148.0,2.0
129,Université Catholique de Louvain,24451,37.8,0.19,54,58.0,38.9,52.2,78.6,54.0,76.7,large,Belgium,Europe,0.0,106.0,2.0
130,University of Exeter,19159,17.5,0.28,55,57.8,34.5,39.3,93.7,34.6,88.8,large,United Kingdom,Europe,1.0,148.0,2.0
130,University of Geneva,16085,15.1,0.4,61,57.8,35.8,43.6,82.9,68.7,98.2,large,Switzerland,Europe,0.0,146.0,2.0
132,University of Science and Technology of China,16032,8.2,0.03,49,57.7,52.7,49.1,76.9,81.7,27.9,large,China,Asia,0.0,61.0,1.0
133,Karlsruhe Institute of Technology,25824,26.3,0.18,27,57.6,44.6,47.7,75.7,97.9,62.9,large,Germany,Europe,0.0,118.0,2.0
134,University of Adelaide,21241,34.3,0.26,48,57.5,35.9,43.1,85.3,67.3,86.6,large,Australia,Oceania,1.0,173.0,4.0
134,Stockholm University,33156,24.9,0.08,62,57.5,33.1,48.4,89.1,34.5,72.7,large,Sweden,Europe,0.0,145.0,2.0
136,University of Zurich,26363,5.9,0.2,57,57.4,42.0,36.0,87.0,43.2,90.8,large,Switzerland,Europe,0.0,146.0,2.0
137,Pohang University of Science and Technology,3046,10.4,0.04,22,57.3,47.9,49.8,76.4,99.8,34.3,small,South Korea,Asia,0.0,73.0,1.0
