rank,name,fte_students,students_per_staff,international_students,ratio,overall,teaching,research,citations,industry_income,international_outlook,size,country,continent,english_spoken,size_int,country_int,continent_int
141,University of Massachusetts,56959,13.0,0.11,49,54.3,40.2,36.3,88.1,52.2,48.9,large,United States,North America,1.0,2.0,172.0,3.0
142,University of Vienna,34651,20.5,0.25,67,54.2,40.8,50.5,63.6,30.2,92.6,large,Austria,Europe,0.0,2.0,103.0,2.0
143,University of Nottingham,30144,15.0,0.27,54,54.1,40.3,39.0,77.5,39.8,80.6,large,United Kingdom,Europe,1.0,2.0,148.0,2.0
144,University of California,17404,22.7,0.01,53,53.9,31.1,34.2,99.9,36.1,45.6,large,United States,North America,1.0,2.0,172.0,3.0
144,University of Lausanne,11964,13.1,0.22,49,53.9,30.9,45.6,76.2,56.0,89.2,medium,Switzerland,Europe,0.0,1.0,146.0,2.0
146,Autonomous University of Barcelona,30538,12.3,0.1,59,53.8,40.3,40.0,83.8,34.9,50.3,large,Spain,Europe,0.0,2.0,144.0,2.0
147,University of Virginia,23845,10.2,0.12,52,53.3,38.8,37.5,87.3,37.9,43.4,large,United States,North America,1.0,2.0,172.0,3.0
148,Korea Advanced Institute of Science and Technology (KAIST),9027,10.0,0.09,20,53.0,43.3,40.5,75.9,100.0,33.9,medium,South Korea,Asia,0.0,1.0,73.0,1.0
149,University of Adelaide,20771,30.1,0.26,48,52.9,32.8,43.2,72.4,79.3,85.1,large,Australia,Oceania,1.0,2.0,173.0,4.0
149,University of East Anglia,14992,14.7,0.28,58,52.9,31.9,28.7,92.7,28.5,83.5,medium,United Kingdom,Europe,1.0,1.0,148.0,2.0
149,University of Twente,6631,12.0,0.26,37,52.9,34.1,45.6,68.8,91.2,80.1,medium,Netherlands,Europe,0.0,1.0,133.0,2.0
153,Sungkyunkwan University (SKKU),24365,20.3,0.09,39,52.8,51.4,53.5,53.8,97.5,36.7,large,South Korea,Asia,0.0,2.0,73.0,1.0
154,Vrije Universiteit Amsterdam,23280,16.3,0.06,56,52.5,28.4,37.1,90.7,60.1,54.9,large,Netherlands,Europe,0.0,2.0,133.0,2.0
155,KTH Royal Institute of Technology,12062,14.6,0.21,30,52.4,39.0,44.3,63.9,78.1,84.4,medium,Sweden,Europe,0.0,1.0,145.0,2.0
