rank,name,fte_students,students_per_staff,international_students,ratio,overall,teaching,research,citations,industry_income,international_outlook,size,country,continent,english_spoken,size_int,country_int,continent_int
601-800,Okayama University,13035,8.6,0.03,38,22.1,24.3,14.9,25.3,48.0,20.6,medium,Japan,Asia,0.0,1.0,69.0,1.0
601-800,Osaka Prefecture University,8051,7.5,0.03,36,17.1,21.6,10.2,17.5,41.5,17.6,medium,Japan,Asia,0.0,1.0,69.0,1.0
601-800,University of Pardubice,10671,19.8,0.04,55,14.1,15.9,11.9,11.1,28.3,23.4,medium,Czech Republic,Europe,0.0,1.0,112.0,2.0
601-800,University of Paris North – Paris 13,23026,23.4,0.22,60,23.8,17.5,11.6,36.2,28.0,46.4,large,France,Europe,0.0,2.0,116.0,2.0
601-800,University of Patras,29251,40.9,0.04,46,21.3,18.5,12.1,28.8,48.3,30.6,large,Greece,Europe,0.0,2.0,119.0,2.0
601-800,University of Pécs,21819,15.4,0.1,55,20.2,19.7,9.0,23.4,28.4,50.8,large,Hungary,Europe,0.0,2.0,120.0,2.0
601-800,Polytechnic University of Valencia,33172,13.6,0.07,36,23.8,20.3,12.7,34.3,43.8,32.9,large,Spain,Europe,0.0,2.0,144.0,2.0
601-800,Pontifical Catholic University of Paraná,7741,10.9,0.02,1,19.2,18.4,6.5,32.2,28.0,18.6,medium,Brazil,South America,0.0,1.0,189.0,5.0
601-800,Pontifical Catholic University of Rio Grande do Sul (PUCRS),14797,10.1,0.13,50,20.6,21.1,10.9,27.6,52.3,18.7,medium,Brazil,South America,0.0,1.0,189.0,5.0
601-800,Pontifical Catholic University of Valparaíso,13493,10.4,0.13,45,14.8,18.4,8.0,10.4,44.3,35.7,medium,Chile,South America,0.0,1.0,190.0,5.0
601-800,Prince of Songkla University,38274,16.1,0.01,69,16.5,15.3,7.0,22.2,31.6,31.0,large,Thailand,Asia,0.0,2.0,93.0,1.0
601-800,Qatar University,9583,19.0,0.42,74,21.6,9.9,10.3,22.3,55.2,99.9,medium,Qatar,Asia,0.0,1.0,86.0,1.0
601-800,Rio de Janeiro State University (UERJ),28757,10.1,0.13,46,15.0,21.7,9.1,12.3,30.8,16.8,large,Brazil,South America,0.0,2.0,189.0,5.0
601-800,Rochester Institute of Technology,12965,13.5,0.13,34,19.8,17.4,13.4,25.1,30.4,29.8,medium,United States,North America,1.0,1.0,172.0,3.0
601-800,Saitama University,7469,11.7,0.02,33,17.8,18.6,9.6,23.4,29.6,20.6,medium,Japan,Asia,0.0,1.0,69.0,1.0
601-800,University of Salford,16152,17.0,0.25,51,21.9,20.8,12.1,21.2,28.8,66.4,large,United Kingdom,Europe,1.0,2.0,148.0,2.0
601-800,University of Santiago- Chile (USACH),22739,23.6,0.01,39,15.5,17.6,11.3,10.2,31.0,40.4,large,Chile,South America,0.0,2.0,190.0,5.0
601-800,São Paulo State University (UNESP),50594,13.0,0.05,52,19.6,28.0,22.6,6.7,40.1,18.7,large,Brazil,South America,0.0,2.0,189.0,5.0
601-800,Savitribai Phule Pune University,4858,14.6,0.03,25,20.7,38.3,12.4,11.4,29.3,17.3,small,India,Asia,0.0,0.0,64.0,1.0
601-800,University of Science and Technology Beijing,22780,15.1,0.04,36,19.7,25.1,22.4,6.9,89.7,15.6,large,China,Asia,0.0,2.0,61.0,1.0
601-800,Sejong University,11704,15.5,0.03,43,23.7,18.9,12.2,38.7,35.4,25.2,medium,South Korea,Asia,0.0,1.0,73.0,1.0
601-800,University of Seoul,10243,19.0,0.03,36,20.6,22.8,17.5,21.4,28.9,18.7,medium,South Korea,Asia,0.0,1.0,73.0,1.0
601-800,Shahid Beheshti University,17800,24.9,0.01,52,17.8,20.5,19.0,11.4,58.9,13.8,large,Iran,Asia,0.0,2.0,66.0,1.0
601-800,Shanghai University,46044,17.5,0.03,48,17.3,19.1,16.1,14.8,45.7,15.8,large,China,Asia,0.0,2.0,61.0,1.0
601-800,Shantou University,9593,13.5,0.13,48,19.6,17.6,9.1,28.3,30.7,30.7,medium,China,Asia,0.0,1.0,61.0,1.0
601-800,Sheffield Hallam University,27477,18.8,0.15,53,18.3,17.3,9.4,20.1,28.6,47.0,large,United Kingdom,Europe,1.0,2.0,148.0,2.0
601-800,Shinshu University,11232,9.6,0.03,32,17.6,20.8,8.3,22.0,31.6,20.3,medium,Japan,Asia,0.0,1.0,69.0,1.0
601-800,Showa University,3675,2.5,0.13,57,15.0,28.5,7.9,7.0,35.3,14.0,small,Japan,Asia,0.0,0.0,69.0,1.0
601-800,Sichuan University,65035,14.5,0.02,48,21.3,25.0,18.4,16.1,90.8,15.7,large,China,Asia,0.0,2.0,61.0,1.0
601-800,University of Silesia in Katowice,32764,17.3,0.01,65,15.9,17.7,8.0,20.4,28.1,18.5,large,Poland,Europe,0.0,2.0,136.0,2.0
601-800,Slovak University of Technology in Bratislava,16400,15.3,0.02,31,20.2,23.3,8.6,24.9,33.2,30.6,large,Slovakia,Europe,0.0,2.0,142.0,2.0
601-800,Sogang University,10625,24.1,0.07,43,23.3,21.5,24.8,20.5,46.8,27.7,medium,South Korea,Asia,0.0,1.0,73.0,1.0
601-800,Sophia University,12799,24.3,0.08,53,14.2,22.0,9.4,5.3,29.5,32.8,medium,Japan,Asia,0.0,1.0,69.0,1.0
601-800,University of South Africa,197102,108.5,0.09,65,14.6,18.4,11.3,9.4,28.8,28.7,large,South Africa,Africa,0.0,2.0,44.0,0.0
601-800,Southern Federal University,27556,9.0,0.03,56,14.1,21.9,8.2,9.2,39.5,17.3,large,Russian Federation,Europe,0.0,2.0,139.0,2.0
601-800,University of Southern Mississippi,14569,18.5,0.03,63,18.4,21.0,11.8,20.1,39.9,20.8,medium,United States,North America,1.0,1.0,172.0,3.0
601-800,University of Southern Queensland,13761,29.2,0.21,55,19.2,18.4,13.1,14.4,28.8,63.0,medium,Australia,Oceania,1.0,1.0,173.0,4.0
601-800,Suez Canal University,16817,6.0,0.13,65,16.1,22.6,5.9,16.0,16.3,31.6,large,Egypt,Africa,0.0,2.0,14.0,0.0
601-800,Sultan Qaboos University,7089,9.0,0.03,50,20.7,21.3,10.6,16.0,37.6,71.5,medium,Oman,Asia,0.0,1.0,83.0,1.0
601-800,Suranaree University of Technology,12650,32.9,0.01,50,18.2,21.1,11.6,18.4,38.1,25.9,medium,Thailand,Asia,0.0,1.0,93.0,1.0
601-800,University of Szeged,22684,13.8,0.09,58,19.6,20.0,10.5,20.5,33.2,46.9,large,Hungary,Europe,0.0,2.0,120.0,2.0
601-800,Taipei Medical University,6001,11.1,0.06,58,23.0,25.7,21.7,19.0,42.2,26.5,medium,Taiwan,Asia,0.0,1.0,91.0,1.0
601-800,Taras Shevchenko National University of Kyiv,22686,8.2,0.02,45,15.7,27.9,11.0,4.2,28.0,28.2,large,Ukraine,Europe,0.0,2.0,147.0,2.0
601-800,Technical University of Madrid,41500,13.8,0.11,32,22.2,21.8,14.6,24.5,38.3,39.5,large,Spain,Europe,0.0,2.0,144.0,2.0
601-800,University of Texas at El Paso,19123,29.0,0.07,54,19.8,18.6,18.7,18.4,31.9,30.4,large,United States,North America,1.0,2.0,172.0,3.0
601-800,Texas Tech University,29512,20.9,0.07,46,23.7,27.9,17.2,22.0,33.4,36.8,large,United States,North America,1.0,2.0,172.0,3.0
601-800,Tokai University,29700,12.7,0.01,27,14.5,17.9,7.6,15.3,34.4,19.3,large,Japan,Asia,0.0,2.0,69.0,1.0
601-800,Tokushima University,7519,8.9,0.03,34,20.7,25.3,21.6,12.8,59.6,16.8,medium,Japan,Asia,0.0,1.0,69.0,1.0
601-800,Tokyo University of Marine Science and Technology,2597,11.1,0.07,34,17.7,27.9,12.4,7.7,57.9,24.5,small,Japan,Asia,0.0,0.0,69.0,1.0
601-800,Tokyo University of Science,20243,25.7,0.02,20,22.6,23.0,24.1,21.4,37.6,15.4,large,Japan,Asia,0.0,2.0,69.0,1.0
601-800,Tomsk State University,10413,9.9,0.12,60,22.8,34.8,20.8,7.6,44.0,36.9,medium,Russian Federation,Europe,0.0,1.0,139.0,2.0
601-800,Tottori University,6248,8.2,0.02,34,15.3,24.3,10.1,9.6,34.5,16.7,medium,Japan,Asia,0.0,1.0,69.0,1.0
601-800,Toyohashi University of Technology (TUT),2153,9.3,0.09,9,20.2,22.0,18.9,15.8,50.3,25.4,small,Japan,Asia,0.0,0.0,69.0,1.0
601-800,Universiti Kebangsaan Malaysia,24227,11.8,0.12,62,18.3,24.3,15.9,10.9,28.4,29.7,large,Malaysia,Asia,0.0,2.0,79.0,1.0
601-800,Universiti Putra Malaysia,23883,12.2,0.15,63,21.5,25.3,20.9,10.2,34.2,50.1,large,Malaysia,Asia,0.0,2.0,79.0,1.0
601-800,Universiti Sains Malaysia,28179,14.8,0.1,61,20.9,26.9,16.6,12.4,34.4,44.2,large,Malaysia,Asia,0.0,2.0,79.0,1.0
601-800,Universiti Teknologi MARA,69268,16.8,0.13,65,14.1,15.2,7.7,18.2,28.3,14.8,large,Malaysia,Asia,0.0,2.0,79.0,1.0
601-800,Ural Federal University,28427,10.1,0.03,48,17.8,24.8,10.6,16.8,35.6,17.3,large,Russian Federation,Europe,0.0,2.0,139.0,2.0
601-800,V.N. Karazin Kharkiv National University,14410,9.7,0.22,53,14.0,21.7,8.9,1.7,28.8,48.4,medium,Ukraine,Europe,0.0,1.0,147.0,2.0
601-800,University of Vigo,22793,19.0,0.03,51,21.5,18.4,10.5,31.8,38.1,30.7,large,Spain,Europe,0.0,2.0,144.0,2.0
601-800,Vilnius University,19019,14.2,0.04,65,21.5,18.3,13.6,26.1,41.0,40.8,large,Lithuania,Europe,0.0,2.0,126.0,2.0
601-800,Warsaw University of Technology,34572,14.5,0.03,34,23.2,19.4,8.5,40.3,47.4,20.7,large,Poland,Europe,0.0,2.0,136.0,2.0
601-800,Waseda University,52316,16.9,0.08,35,23.3,23.6,14.6,29.4,32.4,29.7,large,Japan,Asia,0.0,2.0,69.0,1.0
601-800,University of West Bohemia,15639,21.5,0.02,52,19.3,16.3,9.7,29.8,32.1,23.1,large,Czech Republic,Europe,0.0,2.0,112.0,2.0
601-800,University of the West of England,22525,21.4,0.15,53,23.2,16.9,11.2,34.6,28.5,48.5,large,United Kingdom,Europe,1.0,2.0,148.0,2.0
601-800,West University of Timi_oara,12933,19.0,0.02,62,15.1,16.1,3.9,22.4,32.0,21.0,medium,Romania,Europe,0.0,1.0,138.0,2.0
601-800,University of Westminster,16609,21.0,0.43,57,21.9,17.3,11.7,21.1,28.5,81.9,large,United Kingdom,Europe,1.0,2.0,148.0,2.0
601-800,Xidian University,31618,16.4,0.02,29,14.7,17.9,12.1,8.9,83.7,12.8,large,China,Asia,0.0,2.0,61.0,1.0
601-800,Yeungnam University,21958,15.3,0.03,48,19.5,18.6,10.9,26.5,35.4,24.3,large,South Korea,Asia,0.0,2.0,73.0,1.0
601-800,Yıldız Technical University,31268,28.7,0.02,36,14.6,14.5,7.6,19.3,44.0,14.9,large,Turkey,Asia,0.0,2.0,94.0,1.0
601-800,Yokohama City University,4122,3.7,0.03,55,23.3,24.0,10.2,36.4,37.9,16.1,small,Japan,Asia,0.0,0.0,69.0,1.0
601-800,Yokohama National University,10117,12.1,0.07,28,17.6,20.1,16.0,13.5,40.4,23.3,medium,Japan,Asia,0.0,1.0,69.0,1.0
601-800,Yuan Ze University,8663,20.6,0.04,43,21.3,16.2,18.3,28.6,39.8,17.7,medium,Taiwan,Asia,0.0,1.0,91.0,1.0
